time,1587360501.171
A,219.40613579306176
x0,1372.0584479680024
sigmax,106.72098306034894
y0,1190.2844083543287
sigmay,111.07085784016333
B,10.4542460317364
N,595876396.7953141
stdev X (um),298.81875256897706
stdev Y (um),310.9984019524573
Tx (uK),4.037439893601278
Ty (uK),4.373273997544573
T (uK),4.205356945572926
Tx harmonic (uK),3.485616746049297
Ty harmonic (uK),3.7755502205895386
T harmonic (uK),3.630583483319418
Aspect Ratio,0.960836939009924
Aspect Ratio Inverse,1.0407593207547068
Summed OD,26414618.666666664
Summed OD Atom Number,963212141.1472867
Critical Temperature (nK),3616.3010274225985
Thermal Cloud Density Linear Trap (cm^-3),1545898576687041.2
Peak Thermal Density Harmonic Trap (cm^-3),22992006719502.164
Phase Space Density (thermal),64.65617915939754
Phase Space Density Harmonic (thermal),0.9616253796390892
average thermal velocity Linear Trap (m/s),0.12166518233925144
Collision Time Linear Trap (ms),inf
Signal to Noise ratio,34.96633333167925
